,This is a citation overview for a set of 546 documents.,,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 47 (Of the 546 documents considered for the h-Index, 47 have been cited at least 47 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
2005,Focus on gonadotrophin signalling,Huhtaniemi I.,14701626,Reproduction,130,3,0,0,0,0,1,1
2005,The effects of chemicals on mammalian fertility,"Bremer S., Liminga U., Smitz J., Spano M., Themmen A., Tilloy A., Waalkens-Behrends I., Balduzzi D., Cortvrindt R., Daston G., Eletti B., Galli A., Huhtaniemi I., Laws S., Lazzari G.",2611929,ATLA Alternatives to Laboratory Animals,33,4,0,3,4,7,0,7
2005,Novel concepts of human chorionic gonadotropin: Reproductive system interactions and potential in the management of infertility,"Filicori M., Fazleabas A.T., Huhtaniemi I., Licht P., Rao Ch.V., Tesarik J., Zygmunt M.",150282,Fertility and Sterility,84,2,13,18,7,25,4,42
2005,Human FSH? subunit gene is highly conserved,"Lamminen T., Jokinen P., Jiang M., Pakarinen P., Simonsen H., Huhtaniemi I.",13609947,Molecular Human Reproduction,11,8,0,1,1,2,2,4
2005,Discovery and characterization of new epididymis-specific beta-defensins in mice,"Jalkanen J., Huhtaniemi I., Poutanen M.",1674781,Biochimica et Biophysica Acta - Gene Structure and Expression,1730,1,2,2,0,2,0,4
2005,Fertility in luteinizing hormone receptor-knockout mice after wild-type ovary transplantation demonstrates redundancy of extragonadal luteinizing hormone action,"Pakarainen T., Zhang F.-P., Poutanen M., Huhtaniemi I.",219738,Journal of Clinical Investigation,115,7,5,6,1,7,0,12
2005,Targeted ablation of prostate carcinoma cells through LH receptor using hecate-CG? conjugate: Functional characteristic and molecular mechanism of cell death pathway,"Bodek G., Kowalczyk A., Waclawik A., Huhtaniemi I., Ziecik A.J.",15353702,Experimental Biology and Medicine,230,6,2,5,1,6,1,9
2005,Increased carotid atherosclerosis in andropausal middle-aged men,"Makinen J., Jarvisalo M.J., Pollanen P., Perheentupa A., Irjala K., Koskenvuo M., Makinen J., Huhtaniemi I., Raitakari O.T.",7351097,Journal of the American College of Cardiology,45,10,7,5,12,17,8,32
2005,Mouse cysteine-rich secretory protein 4 (CRISP4): A member of the Crisp family exclusively expressed in the epididymis in an androgen-dependent manner,"Jalkanen J., Huhtaniemi I., Poutanen M.",63363,Biology of Reproduction,72,5,8,7,11,18,3,29
2005,A novel targeted therapy of Leydig and granulosa cell tumors through the luteinizing hormone receptor using a hecate-chorionic gonadotropin ? conjugate in transgenic mice,"Bodek G., Vierre S., Rivero-Muller A., Huhtaniemi I., Ziecik A.J., Rahman N.A.",15228002,Neoplasia,7,5,3,7,1,8,2,13
2005,Age-related androgen receptor polymorphisms and responsiveness (multiple letters),"Dickerman R.D., Zachariah N.Y., McConathy W.J., Jiang M., Huhtaniemi I.",5315565,Experimental Gerontology,40,5,0,0,0,0,0,0
2005,Multiple sites of tumorigenesis in transgenic mice overproducing hCG,"Huhtaniemi I., Rulli S., Ahtiainen P., Poutanen M.",3037207,Molecular and Cellular Endocrinology,234, 1-2,5,2,2,4,1,10
2005,Mutations in human gonadotropin and gonadotropin-receptor genes,"Huhtaniemi I.T., Themmen A.P.N.",0969711X,Endocrine,26,3,8,8,3,11,5,24
2005,A multicenter phase IIb study of a novel combination of intramuscular androgen (testosterone decanoate) and oral progestogen (etonogestrel) for male hormonal contraception,"Hay C.J., Devroey P., Huhtaniemi I., Kersemaekers W.M., Brady B.M., Zitzmann M., Osmanagaoglu K., Pollanen P., Apter D., Wu F.C.W., Anderson R.A., Nieschlag E.",0021972X,Journal of Clinical Endocrinology and Metabolism,90,4,13,1,5,6,0,19
2005,Testosterone replacement therapy induces spermatogenesis and partially restores fertility in luteinizing hormone receptor knockout mice,"Pakarainen T., Zhang F.-P., Makela S., Poutanen M., Huhtaniemi I.",137227,Endocrinology,146,2,5,7,2,9,1,15
2004,Testicular cell lines,"Rahman N.A., Huhtaniemi I.T.",3037207,Molecular and Cellular Endocrinology,228, 1-2,3,1,0,1,0,4
2004,Indirect sertoli cell-mediated ablation of germ cells in mice expressing the inhibin-? promoter/herpes simplex virus thymidine kinase transgene,"Ahtiainen M., Toppari J., Poutanen M., Huhtaniemi I.",63363,Biology of Reproduction,71,5,1,0,0,0,0,1
2004,Polymorphisms in androgen and estrogen receptor genes: Effects on male aging,"Jiang M., Huhtaniemi I.",5315565,Experimental Gerontology,39, 11-12,3,2,0,2,0,5
2004,Transgenic and knockout mouse models for aberrant pituitary-testicular function: Relevance to the pathogenesis of cryptorchidism,"Huhtaniemi I., Poutanen M.",414301,Turkish Journal of Pediatrics,46, ,0,2,0,2,0,2
2004,Adrenocortical tumorigenesis in transgenic mice expressing the inhibin ?-subunit promoter/simian virus 40 T-antigen transgene: Relationship between ectopic expression of luteinizing hormone receptor and transcription factor GATA-4,"Rahman N.A., Kiiveri S., Rivero-Muller A., Levallet J., Vierre S., Kero J., Wilson D.B., Heikinheimo M., Huhtaniemi I.",8888809,Molecular Endocrinology,18,10,7,6,4,10,1,18
2004,Absence of the genetic variant Val79Met in human chorionic gonadotropin-beta gene 5 in five European populations,"Jiang M., Savontaus M.-L., Simonsen H., Williamson C., Mullenbach R., Gromoll J., Terwort N., Alevizaki M., Huhtaniemi I.",13609947,Molecular Human Reproduction,10,10,3,0,2,2,0,5
2004,Effects of medroxyprogesterone and estradiol on the recovery of spermatogenesis in irradiated rats,"Shetty G., Weng C.C.Y., Bolden-Tiller O.U., Huhtaniemi I., Handelsman D.J., Meistrich M.L.",137227,Endocrinology,145,10,3,2,1,3,1,7
