Sourcerecord id 	ISSN	E-ISSN	CSA Source Title (publications from CSA databases only available for entitled users)	CSA databases to which CSA-unique journals belong (see second tab for explanation of abbreviations)	Added since last version	Source Type	Active or Inactive	Coverage	"Open Acces status, i.e., registered in DOAJ (www.doaj.org)"	Title history indication	Related title 1	Related title 2	Related title 3	Related title 4	Publisher's Name 	Country 	Region	Classification Top Level	Classification (Primary) Level 1	Classification 2	Classification 3	Classification 4	Classification 5						
5800169742	0002564X 		Allam- es Jogtudomany	"CSAWPS, CSASA"		Journal	Active	2005-ongoing 	Not OA						MTA All.- Jogtud. Intez	Hungary	Eastern Europe (incl. Russia and CIS)	Social Sciences	Social Sciences										
5800207669	12864986		ALSIC: Apprentissage des Langues et Systemes d'Information et de Communication	CSALLB		Journal	Active	1998-2004 	OA registered						"Departement de Linguistique Appliquee de Didactique des Langues, Universite Marc Bloch"	France	Western Europe (incl. Israel)	Social Sciences	Psychology	Arts and Humanities	Social Sciences	Health Professions	Computer Science						
5600153340	01887017		Alteridades. Revista de Antropologia	"CSASSA, CSALLB, CSAWPS, CSASA"		Journal	Active	1991-2005 	Not OA						Universidad Autonoma Metropolitana	Mexico	Central & South America	Social Sciences	Psychology	Arts and Humanities	Agricultural and Biological Sciences	Environmental Science	Social Sciences						
5600153959	07028865		Alternate Routes	"CSASSA, CSAWPS, CSASA"		Journal	Active	"1999-2005, 1992-1997, 1988-1988, 1982-1984, 1980-1980 "	Not OA						Alternate Routes	Canada	North America	Social Sciences	Psychology	Environmental Science	Social Sciences								
19900191401	13090593 		Alternatif Politika/Alternative Politics	CSAWPS	Added	Journal	Active	2009-ongoing 	Not OA									Social Sciences	Social Sciences										
5700163287	13035525		Alternatives: Turkish Journal of International Relations	"CSAWPS, CSASA"		Journal	Active	2002-ongoing 	OA registered						Fatih University	Turkey	"Middle East, Africa"	Social Sciences	Psychology	Social Sciences									
19700169837	11302887 		America Latina Hoy	"CSAWPS, CSASA"		Journal	Active	2006-ongoing 	Not OA						Universidad Complutense de Madrid	Spain	Western Europe (incl. Israel)	Social Sciences	Social Sciences										
5900153380	00027375		American Artist	CSAART		Journal	Active	"2006-ongoing, 1985-2004 "	Not OA						Watson-Guptill Publications	United States	North America	Social Sciences	Arts and Humanities										
5900152850	02789507		American Ceramics	"CSADAA, CSAART"		Journal	Active	"2004, 1985-2001 "	Not OA						American Ceramics	United States	North America	Social Sciences	Arts and Humanities										
5900152796	01948008		American Craft	"CSAART, CSADAA"		Journal	Active	1985-ongoing 	Not OA						American Craft Council	United States	North America	Social Sciences	Arts and Humanities										
6500153177	10610057 		American Drama	CSABHI		Journal	Active	2006-ongoing	Not OA						American Drama Institute	United States	North America	Social Sciences	Arts and Humanities										
5800169156	10803920	15332128	American Foreign Policy Interests	CSAWPS		Journal	Active	2003-ongoing 	Not OA						National Committee on American Foreign Policy	United States	North America	Social Sciences	Social Sciences										
5800169164	07425929 		American Journal of Chinese Studies	CSAWPS		Journal	Inactive	2005	Not OA						American Association for Chinese Studies	United States	North America	Social Sciences	Social Sciences										
5800213165	10926992		American Language Review	CSALLB		Journal	Inactive	1997-1998 	Not OA						B & B Publishers	United States	North America	Social Sciences	Psychology	Arts and Humanities	Social Sciences								
5700162519	14664658	17437903	American Nineteenth Century History	"CSAWPS, CSASA"		Journal	Active	2002-ongoing 	Not OA						Frank Cass Publishers	United Kingdom	Western Europe (incl. Israel)	Social Sciences	Psychology	Social Sciences									
5800207750	01657305		Amsterdamer Beitrage zur alteren Germanistik	CSALLB		Journal	Active	"2005-ongoing, 1988-2003 "	Not OA						Editions Rodopi	Netherlands	Western Europe (incl. Israel)	Social Sciences	Psychology	Arts and Humanities	Computer Science								
5600153244	09214933		Amsterdams Sociologisch Tijdschrift	"CSAWPS, CSASA"		Journal	Active	1988-2004 	Not OA						Stichting Amsterdams Sociologisch Tijdschrift	Netherlands	Western Europe (incl. Israel)	Social Sciences	Psychology	Agricultural and Biological Sciences	Environmental Science	Social Sciences							
5900153378	02613425		AN Magazine	CSAART		Journal	Active	"2000-ongoing, 1998 "	Not OA						Artic Producers	United Kingdom	Western Europe (incl. Israel)	Social Sciences	Arts and Humanities										
19900188005	13030876 		Anadolu Universitesi Sosyal Bilimler Dergisi/Anadolu University Journal of Social Sciences	CSASA	Added	Journal	Active	2008-ongoing 	Not OA						Anadolu University	Turkey	"Middle East, Africa"	Social Sciences	Social Sciences										
