File	Author	ListedPapers	Papers	Warnings	Errors	General	Life Sciences	Social Sciences	Physical Sciences	Health Sciences	Unknown	Uniformity
149	Dr Evans, P.C.	42	41	0	0	 0.000	0.5589	 0.000	0.02439	0.4167	 0.000	0.4866
150	Mr Faiz, O.D.	15	14	0	0	 0.000	 0.000	 0.000	 0.000	 1.000	 0.000	 1.000
151	Falchi, M.	122	121	0	0	 0.000	0.4323	 0.000	0.06985	0.4235	0.07438	0.3766
152	Farrell, P.J.	124	123	0	0	0.02439	0.7486	 0.000	 0.000	0.1863	0.04065	0.5974
153	Feldmann, M.	474	473	0	0	0.05497	0.4107	 0.000	0.003665	0.4841	0.04651	0.4083
154	Fenwick, A.J.	99	98	0	0	0.02296	0.2629	 0.000	0.09337	0.5901	0.03061	0.4276
155	Ferenczi, M.A.	68	67	0	0	0.07463	0.8209	 0.000	0.02985	0.05970	0.01493	0.6841
156	Ferguson, N.M.	108	107	0	0	0.2617	0.2887	0.004673	0.08255	0.3063	0.05607	0.2556
157	Festenstein, R.	21	20	0	0	0.1500	0.5000	 0.000	 0.000	0.2500	0.1000	0.3450
158	Fidler, S.J.	36	35	0	0	0.02857	0.2762	 0.000	 0.000	0.6952	 0.000	0.5605
159	Field, B.C.T.	6	5	0	0	 0.000	0.5200	 0.000	 0.000	0.4800	 0.000	0.5008
160	Firmin, D.M.	185	184	1	0	0.005435	0.03533	 0.000	0.09810	0.8231	0.03804	0.6898
161	Fisher, B.A.	3	2	0	0	 0.000	0.1250	 0.000	 0.000	0.8750	 0.000	0.7813
162	Fisher, M.C.	46	45	0	0	0.1111	0.5363	 0.000	0.08593	0.2444	0.02222	0.3676
163	Francis, D.P.	164	163	0	0	 0.000	0.07209	 0.000	0.03221	0.8589	0.03681	0.7453
164	Professor Franks, S.	273	272	0	0	0.007353	0.2767	 0.000	0.01471	0.6755	0.02574	0.5338
165	Franzoso, G.	67	66	0	0	0.1061	0.6490	 0.000	0.007576	0.2222	0.01515	0.4821
166	Fraser, C.	59	58	0	0	0.2759	0.2257	 0.000	0.05542	0.3396	0.1034	0.2561
167	Friedland, J.S.	139	138	0	0	0.007246	0.2595	 0.000	 0.000	0.6825	0.05072	0.5358
168	Professor Froguel, P.	406	405	0	0	0.04198	0.3026	 0.000	0.002469	0.6407	0.01235	0.5039
169	Frost, G.S.	129	128	0	0	 0.000	0.1812	 0.000	0.01862	0.7845	0.01563	0.6489
170	Dr Fusi, L.	38	37	0	0	0.02703	0.2252	 0.000	0.009009	0.7117	0.02703	0.5588
171	Gabra, H.O.S.	56	55	0	0	0.01818	0.3909	 0.000	 0.000	0.5727	0.01818	0.4815
172	Dr Game, D.S.	19	18	2	0	 0.000	0.07407	 0.000	 0.000	0.9259	 0.000	0.8628
173	Dr Gardiner, H.M.	63	62	0	0	 0.000	0.02688	 0.000	 0.000	0.9409	0.03226	0.8870
174	Dr Gardiner, J.V.	42	41	0	0	0.02439	0.6951	 0.000	 0.000	0.2561	0.02439	0.5500
175	Garnett, G.P.	187	186	0	0	0.05914	0.1102	0.03315	0.01575	0.7280	0.05376	0.5499
176	Professor Garralda Hualde, M.E.	125	124	0	0	 0.000	0.007392	0.05780	 0.000	0.4751	0.4597	0.4405
177	Gavins, F.N.E.	19	18	0	0	 0.000	0.7824	 0.000	0.01852	0.1435	0.05556	0.6362
178	Gentleman, S.M.	77	76	0	0	0.01316	0.4930	0.008772	 0.000	0.4851	 0.000	0.4786
179	Professor George, A.J.T.	160	159	0	0	0.02516	0.4091	0.006289	0.07002	0.4643	0.02516	0.3891
180	Mr Geroulakos, G.	125	124	0	0	 0.000	0.009409	 0.000	 0.000	0.9745	0.01613	0.9499
181	Ghaem Maghami, S.	16	15	0	0	 0.000	0.2056	 0.000	 0.000	0.7944	 0.000	0.6734
182	Ghani, A.C.H.	95	94	0	0	0.09574	0.2172	0.02039	0.07738	0.5042	0.08511	0.3242
183	Professor Ghatei, M.A.	457	456	0	0	0.01096	0.4772	 0.000	 0.000	0.5009	0.01096	0.4788
184	Gibbs, J.S.R.	73	72	0	0	 0.000	0.05903	 0.000	0.003472	0.9097	0.02778	0.8319
185	Gilks, C.	161	160	0	0	0.01875	0.1224	0.004167	0.001563	0.8156	0.03750	0.6820
186	Gillies, G.E.	51	50	0	0	0.06000	0.5887	 0.000	 0.000	0.3313	0.02000	0.4603
187	Professor Glover, V.A.S.	253	252	0	0	0.007937	0.4773	0.03406	0.009259	0.4714	 0.000	0.4514
188	Gnani, S.	8	7	0	0	 0.000	 0.000	 0.000	 0.000	 1.000	 0.000	 1.000
189	Dr Godsland, I.F.	160	159	0	0	0.006289	0.1627	 0.000	 0.000	0.8059	0.02516	0.6766
190	Dr Goldin, R.D.	143	142	0	0	0.01408	0.1297	 0.000	0.007042	0.8492	 0.000	0.7382
191	Gooderham, N.J.	92	91	0	0	 0.000	0.6740	 0.000	0.07143	0.2546	 0.000	0.5242
192	Goodfellow, I.G.	33	32	0	0	 0.000	0.9583	 0.000	 0.000	0.04167	 0.000	0.9201
193	Goodier, M.R.	25	24	0	0	 0.000	0.4590	 0.000	0.07292	0.4681	 0.000	0.4351
194	Gordon, M.Y.A.	190	189	0	0	0.02116	0.3549	 0.000	0.004850	0.5873	0.03175	0.4724
195	Gorelik, J.V.	32	31	0	0	0.1290	0.5005	 0.000	0.03441	0.3038	0.03226	0.3617
196	Gotch, F.M.	5	4	0	0	 0.000	0.1667	 0.000	 0.000	0.5833	0.2500	0.4306
197	Gould, K.G.	31	30	0	0	0.1000	0.6250	 0.000	 0.000	0.2417	0.03333	0.4601
198	Grassly, N.C.	39	38	0	0	0.1316	0.1297	0.05263	0.01128	0.6485	0.02632	0.4583
199	Gregory Evans, C.Y.	35	34	0	0	 0.000	0.5490	 0.000	 0.000	0.3922	0.05882	0.4587
200	Gregson, S.A.J.	81	80	0	0	0.02500	0.02708	0.1833	 0.000	0.6146	0.1500	0.4352
201	Gressens, P.	216	215	0	0	0.01860	0.4564	 0.000	0.002326	0.5181	0.004651	0.4770
202	Dr Griesenbach, U.	60	59	0	0	 0.000	0.6147	 0.000	0.05763	0.2938	0.03390	0.4686
203	Grimm, S.	32	31	0	0	0.03226	0.7097	 0.000	0.03226	0.09677	0.1290	0.5317
204	Groves, A.M.M.	15	14	0	0	 0.000	 0.000	 0.000	 0.000	0.9286	0.07143	0.8673
205	Grundling, A.	14	13	0	0	0.2308	0.6923	 0.000	 0.000	 0.000	0.07692	0.5385
206	Guillot, P.V.	52	51	0	0	 0.000	0.3644	 0.000	0.01961	0.5180	0.09804	0.4111
207	Professor Habib, N.A.	235	234	0	0	 0.000	0.1688	0.008547	0.006410	0.7863	0.02991	0.6478
208	Dr Habibi, P.	42	41	0	0	 0.000	0.02439	 0.000	 0.000	0.9512	0.02439	0.9060
209	Hagberg, H.	228	227	0	0	 0.000	0.4475	0.001468	0.002203	0.5444	0.004405	0.4967
210	Hajitou, A.	24	23	0	0	0.08696	0.5000	 0.000	0.04348	0.2826	0.08696	0.3469
211	Hajji, N.	5	4	0	0	 0.000	0.5833	 0.000	0.3542	0.06250	 0.000	0.4696
212	Hajnal, J.V.	203	202	0	0	0.004950	0.1263	0.001650	0.1762	0.6513	0.03960	0.4728
213	Professor Hanna, G.B.	88	87	0	0	 0.000	0.002874	0.008621	0.05747	0.8966	0.03448	0.8084
214	Dr Hansel, T.	83	82	0	0	 0.000	0.2053	 0.000	 0.000	0.7459	0.04878	0.6009
215	Dr Hansell, A.L.	33	32	0	0	 0.000	0.03125	0.01563	0.05208	0.9010	 0.000	0.8158
216	Harding, S.E.	129	128	0	0	0.007813	0.3876	 0.000	0.01927	0.5384	0.04688	0.4428
217	Dr Hardy, K.	76	75	0	0	0.06667	0.4551	 0.000	 0.000	0.4649	0.01333	0.4279
218	Ms Harris, J.M.	53	52	0	0	 0.000	0.2308	 0.000	0.02244	0.7276	0.01923	0.5835
219	Hart, A.L.	16	15	0	0	 0.000	0.03333	 0.000	 0.000	0.9667	 0.000	0.9356
220	Mr Hart, A.J.	32	31	0	0	 0.000	 0.000	 0.000	 0.000	0.9677	0.03226	0.9376
221	Haskard, D.O.	254	253	0	0	 0.000	0.2997	 0.000	 0.000	0.6450	0.05534	0.5089
222	Haynes, K.A.	39	38	0	0	 0.000	0.6820	 0.000	0.005263	0.3127	 0.000	0.5630
223	Professor Higham, J.M.	17	16	0	0	 0.000	0.2292	 0.000	 0.000	0.7708	 0.000	0.6467
224	Ho, S.Y.	315	314	0	0	0.003981	0.08121	 0.000	0.007166	0.8822	0.02548	0.7855
225	Hodes, M.	182	181	0	0	0.02762	0.4043	0.02532	0.009669	0.5054	0.02762	0.4212
226	Professor Hodson, M.E.	334	333	0	0	 0.000	0.08283	0.001001	0.1381	0.7600	0.01802	0.6039
227	Holden, D.W.	6	5	0	0	0.2000	0.7000	 0.000	0.1000	 0.000	 0.000	0.5400
228	Holmes, A.H.	44	43	0	0	 0.000	0.03140	0.06977	 0.000	0.8523	0.04651	0.7345
229	Holmes, E.C.	202	201	0	0	0.02488	0.4285	 0.000	0.3709	0.1409	0.03483	0.3429
230	Hooper, R.J.L.	46	45	0	0	 0.000	0.09074	0.1074	0.06667	0.7352	 0.000	0.5647
231	Dr Hopkinson, N.S.	55	54	0	0	 0.000	0.1543	 0.000	 0.000	0.7531	0.09259	0.5995
232	Dr Horwood, N.	25	24	0	0	 0.000	0.4514	 0.000	 0.000	0.5486	 0.000	0.5047
233	Hughes, A.D.	277	276	0	0	 0.000	0.2572	 0.000	0.03708	0.3579	0.3478	0.3166
234	Professor Huhtaniemi, I.T.	547	546	0	0	0.003663	0.4076	0.0009158	0.0009158	0.2077	0.3791	0.3531
235	Hussell, T.	79	78	0	0	0.01282	0.4237	 0.000	 0.000	0.5378	0.02564	0.4696
236	Imami, N.	83	82	0	0	 0.000	0.4520	 0.000	 0.000	0.5236	0.02439	0.4791
237	Inwald, D.P.	28	27	0	0	 0.000	0.07407	 0.000	 0.000	0.8889	0.03704	0.7970
238	Dr Itoh, Y.	161	160	8	0	 0.000	0.5536	 0.000	0.1935	0.05298	0.2000	0.3867
239	Jarvelin, M.R.	249	248	0	0	 0.000	0.1160	0.07527	0.002016	0.4841	0.3226	0.3576
240	Jarvis, D.	118	117	0	0	 0.000	0.1410	 0.000	0.03561	0.8148	0.008547	0.6852
241	Professor Jeffery, P.K.	196	195	0	0	0.01026	0.2155	0.003419	0.01402	0.7466	0.01026	0.6042
242	Mr Jiao, L.R.	66	65	0	0	 0.000	0.1359	 0.000	0.01154	0.7910	0.06154	0.6481
243	Professor Johnston, D.G.	224	223	0	0	0.01794	0.2794	 0.000	 0.000	0.6848	0.01794	0.5476
